epoch,train_loss,train_accuracy,val_loss,val_accuracy,val_precision_macro,val_recall_macro,val_f1_macro
1,8.100811418497338,0.19221698113207547,6.679596470886806,0.22641509433962265,0.21900756826252618,0.22207110964890317,0.2190642469797661
2,6.530228398880869,0.26049528301886793,5.643714217419895,0.2820754716981132,0.2725191090775149,0.2712255806951705,0.27090590293059996
3,5.432184951710251,0.3303066037735849,4.843614554855058,0.33584905660377357,0.3246244987587155,0.3235411007087103,0.32310368587036
4,2.9765410475011143,0.5234669811320755,1.9564299259545668,0.6330188679245283,0.6170671262336139,0.6193018216002657,0.6163975749298708
5,1.299926893778567,0.7068396226415095,1.2826747550154631,0.7330188679245283,0.7178945030006038,0.7216329351407146,0.7193094738511144
6,0.8146335288319948,0.7880896226415094,1.0002559594388278,0.7632075471698113,0.7447613607761615,0.7490673449431111,0.7463144757647052
7,0.5423568342935364,0.8465801886792453,0.8189028335067461,0.7981132075471699,0.7829967022042902,0.7801446012384248,0.7814535381410419
8,0.39542728317374326,0.8773584905660378,0.7173908058202492,0.8264150943396227,0.8125523488776297,0.8113278920775384,0.8116534647072454
9,0.30546824368033204,0.902004716981132,0.6430985756640164,0.8415094339622642,0.8273023122207904,0.8289802677721112,0.8276843030531538
10,0.24100138046339437,0.9192216981132075,0.6163426592664899,0.8518867924528302,0.839485316508707,0.8397432616103053,0.8392623512645927
11,0.16944340691321863,0.9418632075471698,0.5634774308159666,0.8622641509433963,0.8491973142430386,0.851710014800538,0.8499688284347684
12,0.14556839420056006,0.9497641509433963,0.5505052194280444,0.8679245283018868,0.8531366599351493,0.8563296910538778,0.8539864265240479
13,0.12343251602372753,0.9597877358490566,0.5339548470839015,0.8716981132075472,0.8581649441544573,0.8603699659604893,0.8589483557013294
14,0.09296321034923477,0.970754716981132,0.5172319361623728,0.8849056603773585,0.8715496942777476,0.8783282352742513,0.8741714598988385
15,0.0772943158352853,0.9733490566037736,0.48020049614726373,0.8830188679245283,0.8718099122770934,0.8757938546776357,0.8731075972146164
16,0.0657446636493265,0.9768867924528302,0.4784015671824509,0.8943396226415095,0.8804454593982817,0.8846783209630923,0.882118692180783
17,0.0469099329356192,0.9845518867924529,0.4843250230235874,0.8943396226415095,0.8793139998488139,0.884787920358406,0.8814930490052385
18,0.043294242164998685,0.9847877358490567,0.4796734583827684,0.8962264150943396,0.8833475426683398,0.8881734988429942,0.88549210819072
19,0.035598153700911496,0.988561320754717,0.4791482815764985,0.8952830188679245,0.8811181023929451,0.8864938541211526,0.8832989842735853
20,0.03323855409135093,0.9895047169811321,0.47791396581901696,0.8971698113207547,0.8836548239690419,0.8881529343846647,0.8855775069565749
