epoch,train_loss,train_accuracy,val_loss,val_accuracy,val_precision_macro,val_recall_macro,val_f1_macro
1,8.352222325666895,0.18596698113207547,6.517570245490884,0.21132075471698114,0.20583515941876676,0.20809836399652523,0.20474086125717986
2,6.441099703086997,0.2509433962264151,5.430967473084072,0.2641509433962264,0.25550335581877065,0.2576169540903157,0.25575953521133116
3,5.470696652610347,0.30766509433962264,4.716071013684543,0.3292452830188679,0.3169538261289768,0.31985254822359965,0.3175402139276651
4,2.494478149234124,0.589504716981132,1.4940527011763374,0.7339622641509433,0.71921100906602,0.7275454191154332,0.7213339056243712
5,0.9184138806361073,0.7996462264150943,1.0518884726290434,0.8009433962264151,0.7858135956018216,0.7899855937974749,0.7874201195606116
6,0.4747296578760417,0.8752358490566038,0.8646985004533012,0.8264150943396227,0.8133385160967163,0.8143702613763906,0.8134384397764727
7,0.3188561159853806,0.9080188679245284,0.7841858752493588,0.8509433962264151,0.8425343274244957,0.8426288182193415,0.8416978591758907
8,0.2013027431337901,0.9339622641509434,0.6670068767835509,0.8622641509433963,0.8519558091275939,0.854314381333476,0.8520535353262572
9,0.14565689747292057,0.9515330188679245,0.6540451523970883,0.8745283018867924,0.8657232442377158,0.869057271155338,0.8666062797067419
10,0.11152524503633239,0.964504716981132,0.6234788653493489,0.8839622641509434,0.8749787627814459,0.8784992857824069,0.8763223872004638
11,0.08862881852261159,0.9695754716981132,0.604902057574605,0.8915094339622641,0.8828435077686527,0.888492495246385,0.8850829931160131
12,0.06580286264784177,0.9790094339622641,0.5600290324328081,0.8990566037735849,0.8895046675086614,0.8920292947225997,0.8902140793288496
13,0.04834500214827405,0.9839622641509433,0.5872144546131339,0.8990566037735849,0.8908007692486771,0.8904778273047956,0.8902710967263389
14,0.03871151455019091,0.9866745283018868,0.5599507473338887,0.9,0.8903501770352092,0.8948115920086687,0.891817608746675
15,0.032463386097707665,0.9882075471698113,0.5777932319577063,0.8971698113207547,0.888065968226326,0.8909667535740143,0.888987946358557
16,0.03144300170053337,0.9903301886792453,0.5519398233352475,0.9047169811320754,0.8964606085124083,0.8985526040830143,0.8971580001398203
17,0.027110340606634295,0.9910377358490566,0.5418991474188724,0.9047169811320754,0.8950538401017359,0.8982370612344681,0.896247814421208
18,0.02181415036724296,0.9930424528301887,0.5661457280514164,0.9056603773584906,0.896004189920787,0.9016752106049606,0.8982409559252301
19,0.021051451703588443,0.9933962264150943,0.5468088016159973,0.9075471698113208,0.8994241471007499,0.9016706148200725,0.8999866456967945
20,0.017160698609016967,0.9943396226415094,0.5235443649725672,0.9122641509433962,0.9015424985219035,0.9069291776116387,0.9036754023678144
