epoch,train_loss,train_accuracy,val_loss,val_accuracy,val_precision_macro,val_recall_macro,val_f1_macro
1,1.4647460510145942,0.5514150943396227,1.2151085529687269,0.7292452830188679,0.7470234481386898,0.6914735707828589,0.701346591908148
2,1.0734034628238318,0.7314858490566037,0.9588955888208354,0.7679245283018868,0.7659073710847166,0.7416634755225043,0.7476775355049456
3,0.877510566306564,0.7734669811320755,0.8048872295415627,0.8047169811320755,0.7943514234449601,0.787496454337567,0.7892590421585585
4,0.5756607835022909,0.8280660377358491,0.45459158049439485,0.8584905660377359,0.8472750885067201,0.8494224158592382,0.8480847742020378
5,0.38161216366965817,0.8798349056603774,0.3712874118449553,0.8830188679245283,0.8710751591628895,0.8729226193594416,0.8716479019819241
6,0.27914475192720034,0.9150943396226415,0.3081453414739303,0.9075471698113208,0.8954094704640886,0.9003596580659288,0.8975685131765717
7,0.21415584504885493,0.9339622641509434,0.2822243098942739,0.9150943396226415,0.9029801749868761,0.9088494927462395,0.9054052665802743
8,0.16582959963465638,0.9509433962264151,0.25259063586873826,0.9283018867924528,0.9182508744558384,0.9216628274112951,0.9196390543242355
9,0.12811462787102978,0.9637971698113208,0.24691546961384,0.9283018867924528,0.9165138572694352,0.9196859754874841,0.917743544992681
10,0.09889227185609206,0.9720518867924528,0.22459567934274674,0.9330188679245283,0.9229183567250986,0.9250781700793489,0.9237514367009556
11,0.08018185406360986,0.9791273584905661,0.22628410337668545,0.9339622641509434,0.9241152233617212,0.9271472063480551,0.9252815324104889
12,0.06357104174863056,0.9829009433962265,0.2302367569140668,0.9377358490566038,0.9279795193555205,0.9302406795275724,0.9285891058121248
13,0.048020053943091966,0.988561320754717,0.21989979459991996,0.940566037735849,0.9320497752866008,0.9322189715919089,0.9316843628015515
14,0.04291997631695473,0.9889150943396227,0.22369245338552404,0.9433962264150944,0.9344073348379202,0.938542262127835,0.9362101008751722
15,0.03377307937656231,0.9917452830188679,0.2338674119058645,0.9415094339622642,0.931958767514709,0.9374142411188616,0.9342238300945332
16,0.024896624426023577,0.9951650943396226,0.2653316502020044,0.9339622641509434,0.9236084303307849,0.9293407375361641,0.9259994020109251
17,0.02105561678807409,0.9961084905660378,0.25135790975588673,0.939622641509434,0.9307222686966817,0.9345463490182961,0.9323058375886597
18,0.018989630367273008,0.9955188679245283,0.27032426495878203,0.939622641509434,0.9301964019865664,0.93358544043834,0.9315158892559565
19,0.015726641051576666,0.9970518867924528,0.27116475624014746,0.9358490566037736,0.9275450374613845,0.9305987357849687,0.9285595560606333
20,0.013505787781949313,0.997995283018868,0.2784669895287392,0.9386792452830188,0.9313546348964238,0.9322408648940944,0.9311600665315258
